,price
70261,1165
80870,1007
1533,561
66092,628
56544,2394
129650,4373
49896,802
40093,2577
112043,432
77183,678
16073,969
34174,967
35778,657
77663,3398
84814,5569
122505,2536
47291,2874
36335,1074
85368,852
67498,599
9311,4257
69490,1607
57784,7022
56687,810
56681,2041
152317,1608
145575,9037
31250,2691
81698,7739
46443,1330
16238,2782
13476,3593
52971,1270
20784,3823
14921,8020
29679,579
11549,3478
1834,2644
13931,4338
100440,4620
70796,6707
26133,2604
152670,802
13313,1672
9270,5497
87608,2493
4893,3763
93517,1934
33812,2141
16390,1002
6338,596
27874,945
999,1141
47960,1439
27840,3605
70130,4558
146189,658
89411,10577
102583,4155
83295,4838
19900,1708
34056,477
119397,3629
153258,11189
99755,863
96508,3175
3044,864
64285,1115
12685,6689
90844,7145
116125,6661
104656,1664
23267,2670
48354,6274
148876,2733
57538,1667
57644,8220
61759,5765
73882,670
143267,4912
24047,10446
1369,3250
150208,409
41877,5408
18399,911
26636,1814
52670,605
128622,11976
91385,734
36034,3149
124536,734
147242,6733
81078,720
43103,16642
2284,459
39654,394
36067,1937
40703,2394
18904,7391
121930,715
1965,4441
33464,4746
74410,626
60544,5147
8430,7022
68258,709
91776,827
9624,545
35969,2129
153173,3360
150836,5219
92865,6541
99475,580
26944,737
7358,4585
118210,2444
111353,798
4240,12765
71597,2776
124808,889
71561,15528
53420,4138
15134,3351
114262,1695
51875,4368
35923,16339
85342,921
31791,15562
151751,5363
91605,906
109816,2218
23807,1076
31426,1278
123622,3338
20011,573
96476,1358
137721,3424
99049,4872
77024,1649
144270,4395
104588,2338
58339,673
11480,6989
17758,1745
23491,2903
32091,1073
86875,773
2399,10821
23506,1040
40648,1723
61749,581
32603,658
126411,2925
105618,3420
122219,2905
13088,844
73572,3769
95728,1394
151147,7357
118734,10982
112013,2723
91013,4241
73511,17078
46755,5292
75380,1415
148448,600
9923,3298
38274,4140
24250,6492
7653,575
46375,9343
151987,675
125615,975
5651,1125
29651,12829
134381,1316
115393,12477
29302,3205
8286,2846
3090,2939
66308,1864
92491,660
93462,1046
87596,1996
3693,2346
70592,4558
81821,1769
137067,1721
70418,5490
88328,12981
72477,2137
126517,1692
66699,4412
39131,851
114591,13157
9851,12616
8963,1016
27004,1436
133106,3389
83917,684
86635,3258
14824,1181
40701,693
47538,596
63738,11096
147588,603
51348,4171
136539,16988
97266,5067
66307,2327
112933,593
100918,4984
96448,7258
147532,1041
9577,2387
13792,8779
123948,776
119934,16451
31184,8201
35084,4477
85974,3088
121009,533
52408,1007
16711,649
150762,1389
16125,810
28387,999
20537,1040
145754,4838
12083,4389
103563,5456
26560,2757
92861,1546
50825,4530
11432,591
84486,8458
79307,6046
21922,4809
17343,526
31633,11480
148361,653
109315,720
2609,2688
6629,7924
149840,1624
5909,628
1698,13846
92897,552
54492,776
2477,5412
33232,3597
6096,668
93729,571
101869,666
102765,3290
126485,7275
6474,477
14939,2524
37008,3536
4631,5408
75931,726
15072,1013
65774,3290
9791,5034
9316,4059
27710,5387
82625,4211
37390,5562
89727,4060
26078,765
110523,579
29310,2538
114722,4032
8426,3624
22370,1575
119523,2902
140261,681
137422,958
21640,10824
129628,351
125162,18705
62272,4615
45707,3581
76225,3000
32201,2431
148681,581
23138,876
8114,1750
128454,739
111469,7697
80064,943
40764,814
50276,1744
29386,10584
4041,965
105647,1243
63235,735
82285,12654
68645,2003
94551,13803
70936,9000
114410,450
127494,7389
94556,583
58804,1211
15878,2513
105718,1439
1209,2331
75471,890
109501,477
22723,2823
116915,12776
95280,1787
10713,4642
114929,4014
4825,3267
132391,1771
129063,1013
104604,3171
31137,658
50275,752
27997,484
30418,7587
59394,1803
74386,4304
140830,8698
13469,1442
141886,3017
145825,1424
74360,605
34638,11051
51546,6505
133128,605
24980,984
62310,802
132209,1944
46598,1141
11728,1617
41523,2226
126425,1144
114451,1845
36261,4044
55462,1017
10139,2423
149936,1746
59502,5544
19744,5405
111463,1257
124367,6096
62049,1804
8038,819
38643,9370
115470,2893
43032,3985
41625,587
20024,5410
98298,814
1836,3579
28311,2990
16338,9122
98503,16992
152279,605
42144,1250
3973,11765
75859,895
122216,847
20372,1353
142252,556
137542,2812
75728,1415
79123,9828
134218,1790
6590,530
135679,4468
128072,596
2115,2094
67363,4065
152086,13112
83877,3238
59061,765
23916,1970
8384,2456
6196,7676
148341,15845
30488,418
88183,462
130125,1768
56885,4859
11982,12308
10231,5988
13722,4372
103261,4543
136831,675
123041,899
21778,1071
111922,505
133970,5538
150342,6108
39873,1443
92961,335
139599,1768
125286,724
19044,3881
143121,561
7919,863
13499,14348
33658,916
3297,1406
3126,852
98339,6929
37983,3963
127264,4414
12625,720
95468,2368
2846,1179
101456,2198
69997,5050
13824,818
632,3130
89448,14171
79285,2878
122415,1315
15064,8442
84720,1421
8590,14581
126265,2232
138644,1654
14086,1132
30003,8515
143585,1755
73444,760
22613,5555
41508,17250
116999,13205
16898,802
2008,5285
115942,7553
71263,734
82589,653
17855,7783
139409,5152
84950,15877
29382,1749
35522,1389
48767,6917
133126,1230
88977,537
89604,1986
87933,2839
44754,3160
93807,442
104886,494
62887,3710
802,2694
41905,3941
127597,481
43079,605
122862,1267
21735,5361
72511,1091
2723,4704
28219,626
136395,1034
88252,6732
107100,1350
130315,1131
88187,3516
153348,670
71163,11954
29022,684
19694,12968
3013,561
63418,625
99172,5045
52051,2578
4685,5544
75007,605
6634,4082
14094,17027
17624,1819
64738,15959
146857,357
44998,2071
46555,12100
19396,1836
22945,3671
23852,4682
44,1112
28500,838
30301,14242
6193,863
114080,16041
46388,876
36478,1312
26868,5006
129842,3363
87822,5650
12790,5826
10785,1173
7412,4978
31957,965
121021,5076
15895,2211
1331,1922
137189,4514
67020,14414
51075,802
122139,4373
84353,680
68399,1402
134294,1397
27519,9002
132743,1263
143715,4232
56574,769
25697,855
22699,4561
22170,956
141610,1915
65496,955
38241,3121
116764,5167
131257,596
98963,6223
14493,1443
123220,18343
102687,8138
9670,13298
12013,2891
4057,1116
10042,2240
74194,948
125635,5050
121636,17996
136212,6001
17515,4586
26446,948
144903,3520
154694,544
138284,2419
51853,432
139100,9465
8649,5701
17467,338
4343,5411
131118,894
141866,2096
2012,625
10105,786
81460,723
145440,6608
32310,1272
49749,2741
22673,1694
16171,2511
8610,648
12304,6947
5515,1287
29212,748
104415,666
98193,4532
38429,11094
63875,1748
37367,8794
146,3270
21025,737
100569,911
14769,14660
103452,413
17464,6808
129792,1327
31225,6965
48982,630
38127,15756
76916,684
150814,1873
151788,5269
16197,4195
19173,1582
125003,1656
105102,3950
65699,11360
16437,2897
106772,8736
119462,2021
34488,9541
8391,608
82470,18757
75185,6088
20195,9343
29172,2512
33652,10043
52503,1654
137292,1050
74957,863
26991,7099
57808,6184
59921,1743
23219,2575
2998,6336
129656,2319
66081,984
140219,1013
106413,5739
116878,4788
46965,596
18126,1819
34044,1826
50010,4506
54872,5470
127220,13597
41364,687
32503,4586
34670,660
2561,4675
87427,1716
13794,8911
28118,7416
25747,846
147262,602
17730,427
15959,7932
58968,4831
8062,773
124718,9960
15195,6579
42140,687
37147,4712
30033,11434
126561,6246
84824,489
125826,1986
3852,1100
36494,707
34870,3082
40641,1024
6769,4458
77497,5947
92166,1817
37123,1263
36271,5834
152804,3275
51447,11540
70023,6255
118695,2896
1094,13037
8856,10787
21033,1670
13887,2608
112526,1179
141170,5543
26068,5889
145391,4368
24548,6468
4670,14032
102423,625
16966,732
39364,964
24968,1980
35237,1115
2229,485
86752,1449
99947,9452
21751,754
26799,1651
94034,14375
74211,1949
105805,1909
88044,1289
124377,1625
139605,8869
101821,573
102679,18426
78106,10203
145176,789
35859,2224
28913,8288
113038,789
78760,972
27184,6915
21005,850
41818,15690
141945,2131
111227,1422
116051,1444
120881,4784
92074,2414
114480,2607
50771,842
91468,1076
23484,4088
1631,720
58921,7230
19086,1363
118835,1766
96266,3734
24575,702
71391,13052
45679,675
97178,585
134946,4267
1463,3668
19042,3975
44908,926
41333,1715
149072,868
91950,6770
107235,1971
54214,6573
74261,1080
138285,9413
16897,4805
111128,4136
19581,1376
95080,1580
9023,4071
46748,849
150898,905
36641,766
21060,4029
16587,10600
133712,3384
8249,872
34329,2644
94019,572
38868,11726
147450,2184
129707,596
152478,767
2747,3146
111594,1668
91522,4937
89919,3648
111838,625
33859,828
89488,473
36538,8537
152095,840
18753,15505
14070,4864
29735,718
132058,15931
97706,4525
31296,14028
14754,829
119960,7027
47340,1270
3371,1861
28183,6623
12843,5723
63959,6762
132038,465
49905,5166
71850,876
68286,775
133503,862
15113,9882
96975,4034
35626,1982
4131,5806
40187,6779
98715,8895
61439,852
13710,3170
3441,5598
67181,9568
96674,1995
59450,969
92844,4149
130528,1105
148211,718
136665,2749
113837,596
104427,5842
35583,462
140421,3420
20591,924
114034,397
154848,4693
125213,8108
144633,7950
4997,3561
42435,4063
118887,2422
67262,1354
28563,3545
18536,15959
121311,3816
19196,1717
66933,4064
124229,1902
88343,9817
73879,8701
51704,672
22427,1758
23662,9516
14611,932
6170,2818
97656,4771
15903,5105
26897,605
12577,504
35219,789
21496,2800
123011,7125
154009,11540
8448,1752
1167,5050
104809,491
10690,827
124681,8334
29880,622
59775,6784
150148,3546
128914,1052
38627,3451
122016,15615
10419,827
50927,4624
815,7356
20746,15255
25769,720
5436,787
135719,8668
31783,1438
8325,533
145998,1180
127093,1097
145382,2965
76544,10070
116143,1292
141642,4518
136461,503
141125,2726
69436,5344
24616,1774
102982,885
61357,2061
99920,1261
55379,14105
43423,1819
50960,3118
106866,2401
121884,826
8511,1187
136119,10967
28829,4968
143069,1016
106425,975
13110,2167
138557,6867
70090,1015
1314,15837
17244,579
41951,5189
67888,1549
146061,1944
81866,5302
61113,1238
29716,621
8480,1356
12038,561
88423,878
129136,6208
7269,2753
125977,2898
10283,2795
82117,13929
59907,4075
88246,12100
37118,4561
127830,4206
39753,751
32688,5506
97220,7111
32120,2150
2837,2847
33624,1056
21632,1754
34817,478
125507,3220
41096,663
137349,521
89048,1939
50637,1744
9913,1286
45561,4078
18698,800
45841,1847
34559,526
97881,8189
30054,558
58029,4771
68510,9030
37264,4678
28136,9193
121740,4206
135625,14224
21648,1013
137987,1429
129847,5533
20791,689
28569,1415
14936,746
9909,1064
22349,3832
130896,435
6549,2559
81328,1078
64461,2364
64525,5551
97320,2175
147693,2276
75128,697
20095,1817
72863,8064
34044,11337
12511,12612
103632,4400
140438,1625
84424,4798
34897,6147
100304,457
72085,14344
3249,789
119430,802
78600,1408
137604,6581
99875,1008
151544,4967
54663,893
6492,1187
53769,790
25531,8470
137547,523
106469,10349
28507,1370
57984,15824
16852,3510
103384,2397
112275,1719
21913,1911
53057,1021
80563,1080
146473,872
83787,612
89644,4668
29826,571
30667,1410
76603,663
19082,655
124607,2782
42830,647
72397,5560
31460,743
1856,9526
16415,1662
94199,4390
1433,2906
11799,655
88326,1605
52075,1774
20761,525
889,3992
25210,766
41303,6224
21466,2499
76333,4640
102200,7954
120298,2185
38970,1781
15490,1669
79187,625
7656,2707
38947,10013
150718,12502
54172,5147
101484,408
1817,1289
11506,658
35894,6354
36028,2092
124796,5998
137081,645
48052,4704
49998,810
25702,931
7280,1662
32113,4452
121803,6093
17832,481
145380,5624
10766,983
147502,461
69717,935
132984,8470
135587,5550
8303,7392
74067,1153
4310,1720
42479,627
39956,5871
58790,15247
42642,7375
31778,2388
90007,1707
7088,719
22579,485
58059,2054
79926,844
93702,1593
108111,15288
132338,583
64239,14490
19623,8011
146071,5783
5492,1588
123368,15467
19527,3992
116714,850
18636,2146
138960,692
112955,3974
96669,3898
143523,7834
3722,477
97331,2328
85612,1641
2027,2847
24252,4283
14036,926
63613,9129
126739,4372
35876,3780
91767,10164
141997,743
20981,960
8481,11405
15594,1397
11666,683
37141,2309
121732,6513
102996,1061
111439,734
23449,548
29106,2306
83687,1100
12483,6957
133024,5112
30315,9173
72449,2030
138252,544
43973,5710
72382,9576
15625,3524
1210,7411
38596,6766
3284,1352
6896,5315
146024,2309
4572,7437
28744,711
101631,5477
12052,589
507,8982
123044,4989
139938,389
148545,706
124496,844
104437,2335
113327,734
31017,1662
5333,827
139033,6817
2224,564
151471,1698
72727,975
16974,820
5873,2470
105773,10053
102487,3146
74898,15395
20405,1019
91304,1014
26836,2034
109199,16506
128546,14456
93074,3087
99378,1235
123621,3140
110146,593
23831,8924
90642,5598
12719,548
898,1337
68536,2092
139437,1600
38471,1008
151432,3863
119924,5291
21874,3504
36529,6476
102155,8095
16501,10214
107497,9946
24781,5484
98859,698
25157,2761
20895,576
24046,564
37380,1115
37875,5198
3977,2162
13578,4794
79227,5344
34314,1354
38391,8896
32307,1367
47562,3786
36125,10339
46982,18114
18662,1046
74948,787
112068,776
85426,4351
22463,9425
44174,791
81489,2016
1309,1073
84050,589
31616,8674
81831,6250
21350,778
92186,1337
17348,6396
133082,2634
7610,1656
27451,5686
26287,956
32939,3848
58338,522
20668,1040
38281,2373
10636,1294
9070,4438
95191,1257
116299,732
12291,4798
92823,571
90798,2369
3282,645
15176,18640
35149,3903
14725,1132
19091,1114
315,2551
150144,2112
134824,9948
27889,1059
27906,1032
101369,540
31057,5183
11247,671
31349,787
135443,865
119084,3432
5991,982
38129,526
110429,461
76568,5683
83231,2919
70415,5038
65119,6262
123551,4077
2312,7731
17521,5555
75278,4467
101167,3240
23539,14321
66913,1770
36431,6232
24716,6632
15300,8364
100223,4081
33465,4440
130397,9728
127509,648
25028,1268
133759,2041
28662,4662
89939,680
20654,2105
13010,1732
112706,1013
26307,17414
6558,7022
65874,4366
34653,3196
63677,2512
68084,802
71983,5015
109389,499
126955,5132
24376,4200
76994,654
136403,4991
89329,7357
604,568
17338,4480
47626,5335
6239,1050
111470,2141
111974,612
121372,489
137296,12612
105187,10852
74348,4666
55249,1447
139852,710
69976,2162
25922,7209
69431,4518
24776,9916
30150,7163
87699,5000
44326,537
8742,6362
8084,5722
97500,8081
123058,3372
59526,420
56755,1124
23397,8596
35189,1852
97836,545
34099,7291
89237,2351
91596,6610
57575,1438
147301,10424
2489,1698
73547,6513
3489,3273
136899,892
1087,2484
8178,1658
81208,2650
11443,642
120734,3713
45409,10333
153913,2347
53366,675
65510,3380
18371,626
121318,911
50966,2688
154812,1857
66781,420
139991,2168
67072,8133
133390,995
46906,924
55165,8340
2636,7134
114390,789
36269,545
143560,1033
70699,1280
81127,2719
91159,1437
109674,3254
71136,5036
88279,6076
54359,708
66834,2865
126954,579
117104,7429
32109,3603
81185,435
88359,1684
31023,692
132985,3795
2556,1591
125065,1437
65834,1838
12582,942
38455,6164
9178,599
60103,1163
10913,4284
79341,1436
39117,5904
4936,605
76376,394
56735,468
75367,1446
69056,2263
58551,2270
45027,10439
245,4986
4389,2083
128779,4144
132085,6628
93594,612
59513,1868
11454,1891
24820,956
16606,606
11724,5477
27990,2449
58234,917
68153,439
21739,1354
141930,596
18870,1408
95626,1712
39001,6698
65850,2536
133500,1700
113913,2658
139644,1629
19411,12386
36416,435
43845,2657
32520,8454
53123,4583
63639,956
37275,7483
101336,1103
68768,2658
30751,2078
77939,2765
19334,854
13453,8970
92690,2737
88508,5756
35560,9932
129543,1551
50738,1207
14733,901
72360,716
78567,2858
61038,4997
21803,16575
82478,2724
148736,720
54946,1624
22286,6843
43674,7072
12565,5004
109299,5556
54644,1608
7893,8574
15219,850
105676,658
41434,4044
113671,4723
48615,608
96241,684
30457,810
31629,847
22683,720
37478,494
77696,3730
74395,1615
92390,1125
151128,918
60637,5163
102011,591
81282,755
132900,4909
48530,8317
27572,5621
57874,1356
13914,14949
52242,15238
19354,3581
69765,5456
13888,3411
33419,5882
111702,478
106140,1645
3769,6291
127969,803
41034,5335
139870,2144
100419,537
91234,6653
28217,550
19721,3160
102133,8057
128223,5159
38556,2091
23372,1087
67867,5231
78789,6906
120955,7324
71756,1443
4593,2210
125463,687
125219,4724
17208,5172
151193,11431
97711,5950
71786,1267
153707,11637
112689,4006
103654,2164
104524,3384
140863,1179
49912,2066
134259,969
19167,558
75266,6963
91212,751
93255,955
55788,786
37532,3079
63579,4827
134665,574
138209,1433
26194,8299
1444,7424
3753,1024
152939,3705
25209,675
18913,12061
99634,12688
11878,4970
28617,1715
149439,1676
63469,1813
6839,734
11800,6466
90758,1847
58330,3679
19902,3181
138571,3669
16629,485
120980,10197
87107,12987
4450,1153
31919,5353
70557,7079
121713,921
35295,1633
55865,710
91585,6272
153597,14652
531,3235
150448,10164
26061,15291
99197,3959
27432,8089
83966,1966
150460,848
124416,14300
55889,2016
46580,1807
63046,2127
35395,15169
97733,3568
17264,13654
96493,1200
20813,1813
17039,662
29947,2476
101303,9659
321,3577
53912,12696
22305,2644
59582,920
129005,8118
17472,1637
55026,895
8131,661
6730,714
4914,846
97446,537
31563,761
32276,7370
111442,5098
50230,764
72709,5285
137803,13014
2830,900
50608,1819
10134,5055
135578,1948
58224,3154
22314,936
140539,4018
116111,5173
98951,4481
49745,3136
106156,489
67196,2202
93929,5599
464,1036
42761,3146
103960,2760
91927,739
65079,499
20215,480
101208,639
102160,855
24213,827
4536,5469
38545,8940
27102,6289
34334,773
31836,15837
99445,1145
62005,4073
111367,4989
13545,2743
10408,1243
60705,4830
36736,1214
11921,4676
86068,491
20394,5666
91855,2268
57437,2113
2400,4914
76630,3183
13663,943
127671,828
27465,1815
13335,14482
19040,435
135667,4861
108790,2697
64271,2670
86556,15864
34949,3371
149878,616
121335,17600
143863,12549
90033,2767
27187,8219
112299,561
62336,871
43512,555
34718,6095
99402,3530
26981,716
100394,477
43116,10477
23841,756
69645,15005
129414,795
69197,5110
9568,13653
29069,6027
109891,470
8622,10644
10977,604
140113,1814
108364,2598
12694,2735
16248,15223
121618,936
2126,3007
136640,784
76183,983
31669,1240
116422,906
78126,1153
78751,4688
94372,4987
85027,2435
144672,589
22166,4879
14282,8930
98882,7950
14903,2212
34748,9352
2424,2222
75129,16075
142572,2026
22183,4384
146268,3480
15461,2866
124290,1446
83839,14709
84968,4914
115328,2535
122693,2307
44868,5174
41677,6393
30428,14300
18146,1354
44650,10483
127702,5818
35473,2378
57551,6756
39877,1760
26844,1355
149422,7928
114473,415
144982,9642
89396,1033
45009,2705
49255,8359
28696,6892
61154,505
35635,2860
48715,1101
345,660
58911,766
39058,13846
131917,876
16179,6268
91105,3981
53652,4805
13413,710
153542,861
31546,13587
59322,935
119085,995
36534,1628
43051,1845
95924,4132
61657,1883
25919,7140
30158,5577
63326,574
7106,1624
105975,13135
63643,3838
34730,791
134720,4981
64252,1068
4375,1280
21838,4140
41717,4946
37199,565
130572,2233
47102,6044
134506,2564
19785,12654
30264,552
64790,579
124955,733
65967,4532
80794,17073
23408,5499
97649,891
1854,5260
32846,18680
37195,605
147302,684
80416,3731
122183,6441
1422,14482
105062,1851
146675,773
81575,1165
25609,3808
120232,12492
1285,828
110360,4586
105159,10553
36619,3054
10458,3438
75840,675
106979,2810
11656,872
39517,1031
142457,830
151940,1691
73958,1179
45415,3782
19832,2234
71233,2573
98825,859
103036,2720
139399,2802
96575,11413
121278,1024
57152,645
141397,7617
106339,14201
30064,16273
12375,842
134602,10688
120521,1050
38293,851
126402,2573
49930,914
116990,1577
107359,17019
38705,3352
110654,2179
109281,673
1294,7359
43586,572
91962,8895
131976,5743
141520,7056
12428,1875
127936,8185
96197,3171
21593,508
16348,855
35789,4974
95925,1232
20887,593
44601,802
141963,6046
147491,827
96070,1103
140867,16786
35442,4246
59590,1080
34677,5740
72927,812
45816,4969
109870,4250
137143,4295
36922,761
36604,14065
20223,13257
141179,774
102775,1861
17326,3450
41901,1232
12871,515
140717,4312
86113,3266
150706,2107
23924,1712
16342,803
37734,745
70724,1400
121978,4323
30229,765
91366,680
25934,838
54342,1017
133945,8623
101921,9078
35884,16442
9130,4413
17679,10995
130061,9095
13231,6653
79956,1324
7509,6239
22858,855
200,6595
68523,4824
120187,814
84373,5376
50604,612
47274,909
150516,3137
20827,10696
88008,7969
112508,3429
121286,7437
66607,9900
133825,1799
139330,6261
33373,427
28595,3230
104351,7906
12269,709
29466,6133
114991,1447
17880,3027
23728,1041
31774,3300
96504,10332
95662,8414
70141,4032
27025,1348
128542,567
10677,12779
4125,2493
28564,369
70038,753
67420,1875
138544,774
22436,2553
9011,4758
11730,3624
91653,911
148895,1924
55755,658
11912,597
74603,544
47841,1239
135564,4871
3041,8057
140516,2191
106845,524
18343,3063
20826,5195
93020,13803
12452,470
109274,2553
38658,695
70790,1956
107731,7099
121760,1270
135854,802
128130,16941
9196,1939
23406,5412
72143,14715
40344,2749
38793,710
137756,756
58554,687
101803,6368
51092,16731
101990,4017
6511,661
6023,1316
40453,4068
130913,730
111215,9138
45978,3516
150876,1944
135411,9521
29769,612
67066,2246
95968,2019
152605,608
80849,3584
87586,6665
1739,1753
7735,4012
26728,5587
124480,13820
147453,5176
38592,596
99180,12647
15670,1443
43357,1037
82179,1145
29450,814
113754,4045
57774,1238
80931,1607
54941,957
34828,7334
109309,9461
9534,4591
97254,3768
82387,2664
34196,5077
66132,2275
49796,5826
23576,6587
99563,600
101645,14027
99425,1818
30745,1749
1094,12499
107604,3581
90628,6354
87675,6927
109572,7437
4846,766
52801,7950
24216,672
61468,3447
131394,1006
25234,9057
67997,10038
49252,478
134441,5950
127375,12716
117447,1056
18916,854
7,1035
77556,430
33817,816
74497,614
64572,4312
152369,844
9033,4435
131119,1099
137010,2989
18746,707
68872,5004
27,18691
62571,828
46511,5032
29703,1719
34915,1555
6060,851
143555,2073
74244,990
98186,521
32124,6087
153122,1140
38204,3298
101820,17116
41266,1306
11115,8505
33673,868
85067,10388
26563,14120
102174,802
58488,12641
103476,11108
22688,6595
126413,1746
4894,862
153328,1067
84245,11804
56394,648
15889,3323
57769,3881
123006,682
96934,706
125350,640
87396,14323
33918,1915
9467,4836
16454,1240
411,16733
49261,1821
55261,4299
35246,846
153215,11863
16327,3394
129452,1094
105706,6438
77945,4233
86448,1942
21615,752
90431,4719
116472,335
27675,17676
2291,814
139476,770
40394,537
92966,5759
61329,3247
1234,6146
95112,7141
14027,3387
32007,4177
18867,957
107982,4764
58138,876
110063,836
118630,616
24557,2385
62290,5821
27907,770
104045,2155
114093,477
39637,495
63758,8092
116789,8791
71847,9330
110770,1443
134301,4390
279,2333
113954,658
145797,1316
131323,2697
11752,3246
55722,645
100645,2870
85056,811
46294,5292
12388,2016
149968,5739
37454,6441
37994,722
70995,877
36747,886
143163,1654
43434,5537
26987,1585
76879,12931
3131,1263
71943,642
103401,17149
55435,4921
9316,6545
63899,1024
129870,700
45572,16817
28301,680
4342,2547
37271,5443
55217,491
48647,1410
25633,4449
140493,11387
147017,12654
62617,1377
12039,14799
5123,9959
107475,873
46334,745
126306,617
785,4568
32300,612
80767,2677
3850,4752
144439,11400
86539,758
9609,1668
50271,10827
46625,7893
62724,4964
12534,4724
109352,6816
91031,736
68251,3425
95064,5172
36349,2096
123742,871
45225,2238
38858,4630
58195,7389
34087,3640
93048,765
13235,1055
82677,898
25850,890
109523,4412
3028,2032
1084,490
48488,4836
136886,3200
15292,810
123353,452
7860,13437
3609,14319
84570,2247
37619,816
57179,17028
10945,3924
75024,4029
35671,2950
38630,9317
5662,1787
129086,7877
3107,505
2926,715
124658,3669
32388,4878
29564,2291
35927,7357
5061,8555
14989,969
25376,876
74761,498
111164,7632
95807,990
31779,948
131073,7192
144268,17176
66872,6108
64888,1816
77461,1041
96964,505
60026,1056
35943,5786
1768,624
128754,3427
33232,758
12611,1683
19665,1209
96201,2681
70495,1966
10056,6182
82432,8820
6490,2491
84015,5416
38418,5339
114592,17151
127712,6257
38028,1050
9844,1090
106207,3360
43761,1406
124774,575
3205,11627
144663,3800
80765,1656
37772,944
84524,589
126544,15086
28983,9292
75301,13827
112915,4703
8287,6181
40385,7419
22096,4668
110858,5645
131833,1113
115787,1020
27616,898
132266,601
89231,789
7956,5000
6736,2205
101769,1819
35116,10681
115084,3625
48513,16339
32520,743
27414,5176
56193,3543
71188,660
118126,1249
13687,1453
11012,1712
94511,1270
15290,5724
87875,981
17356,17448
118443,7211
25522,6990
59346,1354
143046,1107
20484,663
98311,6651
34524,1819
24050,1197
29125,526
38691,1402
91798,921
126149,1657
86084,435
75832,6746
140617,1333
6675,945
77418,11299
68909,711
66068,5756
105409,6547
103178,15851
79753,571
12341,14482
8012,1819
73328,2360
132228,1952
28959,1875
61482,3819
21226,4413
137412,1024
26066,1097
15157,414
35743,4163
29574,761
10421,4830
25067,563
116681,419
60937,10330
37083,2426
27482,628
151266,2816
68293,1316
52965,5920
25097,2726
116218,16256
52827,624
143625,12646
83090,470
100971,534
34007,2994
86698,648
67969,4078
54278,666
16752,14844
14283,7691
141819,1051
100713,9972
21220,459
144476,2147
51518,630
37189,5938
17761,2362
146304,12342
48451,863
100053,4430
35773,2795
151569,457
67227,393
14164,1838
61259,2391
50067,1436
82983,716
45447,4858
104477,730
60841,737
127455,13109
22154,2485
145090,7484
105031,6892
24001,4739
47049,7637
53088,693
105157,788
143057,1295
13923,3713
142765,17168
59667,1240
34595,475
136155,641
83009,5697
27586,828
30716,3846
10496,4826
21313,4268
11302,16709
92448,3603
70454,4183
57224,5249
76547,541
46212,4657
36058,3841
114263,1014
111261,3377
21080,628
13673,875
31549,2042
803,1664
77329,2850
53783,1721
22506,14792
106021,12466
151169,11595
29456,3411
70308,6403
9212,402
72995,3584
81322,6826
41665,6126
111827,5587
32021,1616
46628,2113
87700,1011
695,1976
56469,2293
41619,3524
50018,3945
68667,8580
64919,2841
130587,8907
7296,1375
12081,2890
22862,7983
42331,2632
2061,4400
17690,1843
102080,566
30302,4935
98620,10669
138758,3819
88716,1252
13648,4183
51551,589
5579,683
88066,1402
6262,3992
56315,12207
84299,2819
150880,3555
133399,15840
147380,6323
89944,1427
90303,972
54985,4059
25832,6352
73351,1156
143955,526
54830,737
2337,893
6787,1845
52229,734
80352,612
149775,11780
27694,633
9038,597
85306,2300
144924,523
2779,3561
90442,6133
73521,9258
39702,4704
125433,4829
92043,4397
81104,6593
35132,5855
34384,477
110876,544
115509,5206
38374,1636
116028,872
29326,2298
34358,2470
119931,4118
8240,3042
82630,990
53531,1214
62394,599
8153,5476
150509,3323
10915,1551
68103,2261
30674,2369
60824,3170
20063,4372
147505,771
36211,2266
130623,764
61334,3800
140,4007
34745,2512
29210,1202
118342,1872
78417,4032
97754,14215
142190,642
19532,2555
33296,452
7744,1153
152233,743
6658,485
147197,4758
27110,2657
18514,1777
115791,13153
49558,530
91871,765
123830,1393
123078,1998
88025,7780
37064,9209
34383,6732
5326,2681
34704,10327
12278,7257
9219,552
47669,926
16193,2188
33084,1654
8205,816
151648,2803
3008,4851
139228,6397
14680,14112
109949,1965
14235,745
149952,544
38263,18318
146871,5851
15792,4413
100511,1848
660,907
79168,2756
73718,2168
131036,14111
98288,5211
40511,1648
13309,589
54543,16253
8654,498
120005,4233
66609,692
6723,3656
35013,10446
138567,10546
26780,2240
17956,11976
94015,828
61762,4074
12877,1168
129946,951
151838,764
129170,710
147549,1788
44159,17052
30560,4252
2579,1015
37580,804
102531,12394
65880,765
9738,2896
36344,1061
78443,1625
73174,1666
26917,3365
42489,706
16242,9568
104361,1300
10709,7139
52510,787
42558,1935
44551,4484
65007,886
11065,1076
65341,17116
37485,3920
75391,6907
11001,2300
117810,2095
114290,11854
5219,1337
120986,6025
11148,912
103685,4604
17844,4066
65387,1698
145870,5914
137056,698
44423,1193
14133,1018
80741,511
90889,522
33698,601
59850,928
50249,15291
152459,958
43125,1629
126046,2001
71344,490
93776,7127
59051,5807
6022,1102
5958,2083
37092,5071
76471,1746
30988,2133
31191,658
81917,1400
13124,4290
128169,876
4915,7078
154520,702
22944,16842
34031,3253
64521,3936
25213,591
154426,3710
